minister,country,startdate,enddate,position
Adoracion Salas Chonco,Eq. Guinea,2018-02-06,2019-12-31,Fishing and Water Resources
Agapito Mba Mokuy,Eq. Guinea,2012-05-22,2018-02-06,"Foreign Affairs, International Cooperation and Francophone Affairs"
Alejandro Bacale Ncogo,Eq. Guinea,2018-02-06,2019-12-31,Defence
Alejandro Evuna Owono Asangono,Eq. Guinea,1989-11-25,2019-12-31,Missions
Alfonso Nsue Mokuy,Eq. Guinea,2004-06-15,2006-08-22,"Information, Tourism and Culture"
Alfonso Nsue Mokuy,Eq. Guinea,2006-08-22,2008-07-15,Minister at the Presidency
Alfonso Nsue Mokuy,Eq. Guinea,2012-05-22,2015-04-15,Vice-Prime Minister in charge of Social and Human Rights Affairs
Alfonso Nsue Mokuy,Eq. Guinea,2015-04-15,2019-12-31,Vice-Prime Minister in charge of Human Rights Affairs
Alfredo Mitogo Mitogo,Eq. Guinea,2013-09-04,2015-04-15,Agriculture and Forests
Alfredo Mitogo Mitogo,Eq. Guinea,2015-04-15,2016-06-24,Trade and Business Promotion
Anastasio Asumu Mum Munoz,Eq. Guinea,2008-07-15,2012-05-22,Fishing and Environment
Andrés Jorge Mbomio Nsem Abu,Eq. Guinea,2015-04-15,2017-06-13,Youth and Sports
Angel Masie Mibuy,Eq. Guinea,2004-06-15,2006-08-22,Justice and Penitentiary Institutions
Angel Masie Mibuy,Eq. Guinea,2006-08-22,2016-06-24,Relations with Parliament and Legal Affairs of the Government
Angel Masie Mibuy,Eq. Guinea,2006-08-22,2006-08-22,Relations with Parliament and Legal Affairs of the Government
Angel Masie Mibuy,Eq. Guinea,2016-06-24,2019-12-31,Vice-Prime Minister in charge of Parliamentary Relations and Judicial Affairs
Angel Serafin Seriche Dugan,Eq. Guinea,1996-03-25,2001-02-23,Prime Minister
Aniceto Ebiaka Muete,Eq. Guinea,2004-06-15,2006-08-22,Urban Planning and Infrastructure
Aniceto Ebiaka Muete,Eq. Guinea,2006-08-22,2008-07-15,Vice-Prime Minister in charge of Human Rights
Aniceto Ebiaka Muete,Eq. Guinea,2008-07-15,2012-05-22,Vice-Prime Minister in charge of Economy and Finance
Anselmo Ondo Eseno,Eq. Guinea,2008-07-15,2010-01-12,"Education, Science and Sport"
Antonio Fernando Nve Ngu,Eq. Guinea,1999-07-22,2001-03-09,"Parliament Relations, Juridical Affairs and Government Spokesman"
Antonio Fernando Nve Ngu,Eq. Guinea,2001-03-09,2003-02-11,Education and Science
Antonio Fernando Nve Ngu,Eq. Guinea,2003-02-11,2004-06-15,Education and Science
Antonio Martin Ndong Ntutumu,Eq. Guinea,2004-06-15,2006-08-22,Administrative Coordination and Relations with Parliament
Antonio Martin Ndong Ntutumu,Eq. Guinea,2006-08-22,2008-07-15,Health and Social Welfare
Antonio Mba Nguema,Eq. Guinea,2004-06-15,2016-06-24,Defence
Antonio Mba Nguema,Eq. Guinea,2016-06-24,2019-12-31,Presidential Security
Antonio Nve Nseng,Eq. Guinea,2003-02-11,2004-06-15,Planning and Economic Development
Antonio Pedro Olivera Boropu,Eq. Guinea,2016-06-24,2018-02-06,Trade
Atanasio Ela Ntugu Nsa,Eq. Guinea,2004-06-15,2008-07-15,"Mines, Industry and Energy"
Augustin Nse Nfumu,Eq. Guinea,2003-02-11,2004-06-15,"Information, Tourism and Culture"
Augustin Nse Nfumu,Eq. Guinea,2012-05-22,2013-09-04,"Information, Press, and Radio"
Baltasar Engonga Edjo,Eq. Guinea,2001-03-09,2004-06-15,Economy and Finance
Baltasar Engonga Edjo,Eq. Guinea,2006-02-14,2019-12-31,Regional Integration
Baltasar Esono Oworo Nfono,Eq. Guinea,2016-06-24,2019-12-31,Minister without Portfolio
Braulio Ncogo Abegue,Eq. Guinea,2008-07-15,2016-06-24,Civil Cabinet
Candido Muatetema Rivas,Eq. Guinea,2001-02-26,2004-06-15,Prime Minister
Carmelo Modu Acusé Bindang,Eq. Guinea,2003-02-11,2004-06-15,"Industry, Commerce and Small and Medium Enterprises"
Carmelo Modu Acusé Bindang,Eq. Guinea,2004-06-15,2006-08-22,Planning and Economic Development
Carmelo Modu Acusé Bindang,Eq. Guinea,2006-08-22,2006-08-22,Political and Administrative Affairs
Carmelo Modu Acusé Bindang,Eq. Guinea,2006-08-22,2008-07-15,Political and Administrative Affairs
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2012-05-22,2013-09-04,"Economy, Commerce, and Business Promotion"
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2013-09-04,2015-04-15,Trade and Business Promotion
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2015-04-15,2016-06-24,"Transport, Technology, and Posts and Telecommunications"
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2016-06-24,2018-02-06,Transport and Posts
Celestino Bonifacio Bakale Obiang,Eq. Guinea,2018-02-06,2019-12-31,"Labour, Employment Promotion and Social Security"
Clemente Engonga Nguema Andeme,Eq. Guinea,2001-03-09,2012-05-22,Interior and Local Corporations
Clemente Engonga Nguema Andeme,Eq. Guinea,2012-05-22,2019-04-10,"Vice-Prime Minister, Head of the Political Affairs and Democracy and Minister of Interior and Local Corporations"
Clemente Engonga Nguema Andeme,Eq. Guinea,2019-04-10,2019-12-31,"Vice-Prime Minister and Minister for Education, University Teaching and Sports"
Conrado Okenve Ndoho,Eq. Guinea,2012-05-22,2013-09-04,"Planning, Economic Development, and Public Investment"
Conrado Okenve Ndoho,Eq. Guinea,2013-09-04,2015-04-15,"Economy, Planning and Public Investment"
Constantino Ekong Zue,Eq. Guinea,1999-07-22,2003-02-11,"Industry, Commerce and Small and Medium Enterprises"
Consuelo Ondo Nsang,Eq. Guinea,2015-04-15,2018-02-06,Social Affairs and Gender Equality
Crescencio Tamarite Castano,Eq. Guinea,2012-05-22,2015-04-15,Fishing and Environment
Cristobal Menana Ela,Eq. Guinea,1999-07-22,2004-06-15,Mines and Energy
Cristobal Menana Ela,Eq. Guinea,2004-06-15,2008-07-15,"Education, Science and Sport"
Cándido Nsue Okomo,Eq. Guinea,2017-06-13,2018-02-06,Youth and Sports
César Augusto Mba Abogo,Eq. Guinea,2019-04-10,2019-12-31,"Finance, Economy and Planning"
Demetrio Elo Ndong Nsefumu,Eq. Guinea,1999-07-22,2001-02-26,Vice-Prime Minister and Minister of Interior and Local Corporations
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2003-02-11,2004-06-15,Vice-Prime Minister in charge of Domestic Policy
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2004-06-15,2006-06-15,"Transport, Technology, and Posts and Telecommunications"
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2006-06-15,2006-08-22,Labour and Social Security
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2006-08-22,2011-02-19,Vice-Prime Minister in charge of Domestic Policy
Demetrio Elo Ndong Nsefumu,Eq. Guinea,2011-02-19,2012-05-22,"Vice-Prime Minister in charge of Domestic Policy, Urban Planning and Infrastructure"
Diosdado Nsue Medja,Eq. Guinea,2018-02-06,2019-12-31,"Public Works, Housing, and Town Planning"
Diosdado Vicente Nsue Milan,Eq. Guinea,2013-09-04,2016-06-24,Health and Social Welfare
Enrique Mercader Costa,Eq. Guinea,2004-06-15,2006-06-15,Labour and Social Security
Enrique Mercader Costa,Eq. Guinea,2006-06-15,2010-01-12,"Transport, Technology, and Posts and Telecommunications"
Estanislao Don Malavo,Eq. Guinea,2008-07-15,2010-01-12,Finance and Budget
Estanislao Don Malavo,Eq. Guinea,2010-01-12,2012-05-22,Labour and Social Security
Estanislao Don Malavo,Eq. Guinea,2015-04-15,2016-06-24,Fishing and Environment
Estanislao Don Malavo,Eq. Guinea,2016-06-24,2018-02-06,Fishing and Water Resources
Eucario Bakale Angüe,Eq. Guinea,2015-04-15,2018-02-06,"Economy, Planning and Public Investment"
Eucario Bakale Angüe,Eq. Guinea,2018-02-06,2019-04-10,"Transport, the Postal Service and Telecommunications"
Eucario Bakale Angüe,Eq. Guinea,2019-04-10,2019-12-31,Public Administration and Administrative Reform
Eugenio Edu Ndong,Eq. Guinea,2016-06-24,2018-02-06,Industry and Energy
Eugenio Nse Obiang,Eq. Guinea,2015-04-15,2019-12-31,"Information, Press, and Radio"
Eulalia Envo Bela,Eq. Guinea,2006-08-22,2012-05-22,Social Affairs and Promotion of Women
Evangelina Oyo Ebule,Eq. Guinea,2006-08-22,2008-07-15,Labour and Social Security
Evangelina Oyo Ebule,Eq. Guinea,2013-09-04,2018-02-06,"Justice, Religion, and Penitentiary Institutions"
Faustino Ndong Esono Eyang,Eq. Guinea,2013-09-04,2016-06-24,Minister without Portfolio
Faustino Ndong Esono Eyang,Eq. Guinea,2016-06-24,2019-04-10,Public Administration and Administrative Reform
Faustino Ndong Esono Eyang,Eq. Guinea,2019-04-10,2019-12-31,Interior and Local Corporations
Fausto Abeso Fuma,Eq. Guinea,2016-06-24,2018-02-06,Civil Aviation
Fernando Mbale Mba,Eq. Guinea,1998-01-23,2001-03-09,Civil Service and Administrative Reform
Fidel Nsue Micha,Eq. Guinea,2006-08-22,2008-07-15,Urban Planning and Infrastructure
Filiberto Ntutumu Nguema,Eq. Guinea,2010-01-12,2011-01-28,"Education, Science and Sport"
Florentino Nkogo Ndong,Eq. Guinea,1999-07-22,2003-02-11,Public Works and Urban Affairs
Fortunato Ofa Mbo Nchama,Eq. Guinea,1999-07-22,2003-02-11,Planning and Economic Development
Fortunato Ofa Mbo Nchama,Eq. Guinea,2003-02-11,2006-08-22,Fishing and Environment
Fortunato Ofa Mbo Nchama,Eq. Guinea,2006-08-22,2008-07-15,Administrative Coordination
Francisca Tatchoup Belope,Eq. Guinea,2011-01-28,2012-05-22,"Economy, Commerce, and Business Promotion"
Francisco Javier Ngomo Mbengono,Eq. Guinea,2011-01-28,2013-09-04,"Justice, Religion, and Penitentiary Institutions"
Francisco Mba Olo Bahamonde,Eq. Guinea,2012-05-22,2015-04-15,"Transport, Technology, and Posts and Telecommunications"
Francisco Mba Olo Bahamonde,Eq. Guinea,2015-04-15,2019-12-31,Agriculture and Forests
Francisco Mba Olo Bahamonde,Eq. Guinea,2016-06-24,2018-02-06,Forests and Environment
Francisco Pascual Eyegue Obama Asue,Eq. Guinea,2003-02-11,2004-06-15,"Agriculture, Livestock and Rural Development"
Francisco Pascual Eyegue Obama Asue,Eq. Guinea,2008-07-15,2011-01-28,Health and Social Welfare
Francisco Pascual Eyegue Obama Asue,Eq. Guinea,2012-05-22,2015-04-15,Youth and Sports
Francisco Pascual Eyegue Obama Asue,Eq. Guinea,2015-04-15,2016-06-24,Vice-Prime Minister in charge of the Social Sector
Francisco Pascual Eyegue Obama Asue,Eq. Guinea,2016-06-24,2019-12-31,Prime Minister and Minister of Administrative Coordination
Gabriel Mbega Obiang Lima,Eq. Guinea,2012-05-22,2016-06-24,"Mines, Industry and Energy"
Gabriel Mbega Obiang Lima,Eq. Guinea,2016-06-24,2019-12-31,Mines and Hydrocarbons
Gregorio Boho Camo,Eq. Guinea,2001-03-09,2003-02-11,"Agriculture, Livestock and Rural Development"
Guillermina Mekuy Mba Obono,Eq. Guinea,2016-06-24,2018-02-06,Culture and Craft Production
Heriberto Mico Mbengono,Eq. Guinea,2013-01-30,2016-06-24,Labour and Social Security
Hermes Ela Mifumu,Eq. Guinea,2016-06-24,2018-02-06,Promotion of Small and Medium Businesses
Ignacio Milam Tang,Eq. Guinea,2001-02-26,2001-03-09,Vice-Prime Minister
Ignacio Milam Tang,Eq. Guinea,2001-03-09,2003-02-11,Vice-Prime Minister and Minister of Administrative Reform and Civil Service
Ignacio Milam Tang,Eq. Guinea,2003-02-11,2004-06-15,Minister without Portfolio
Ignacio Milam Tang,Eq. Guinea,2008-07-15,2012-05-22,Prime Minister
Ignacio Milam Tang,Eq. Guinea,2012-05-22,2016-06-24,Vice-President
Jaime Ela Ndong,Eq. Guinea,2004-06-15,2008-07-15,"Economy, Trade and Promotion"
Jeremias Ondo Ngomo,Eq. Guinea,2003-02-11,2004-06-15,Vice-Prime Minister in charge of Social Affairs and Human Rights
Jeronimo Osa Osa Ecoro,Eq. Guinea,2008-07-15,2012-05-22,"Information, Tourism and Culture"
Jesusa Obono Engono,Eq. Guinea,2004-06-15,2006-08-22,Women Affairs
Jesús Engonga Ndong,Eq. Guinea,2015-04-15,2018-02-06,Education and Science
Jesús Engonga Ndong,Eq. Guinea,2018-02-06,2019-04-10,"Education, University Teaching and Sports"
Joaquín Mbana Nchama,Eq. Guinea,2011-01-28,2012-05-22,Education and Science
José Ela Oyana,Eq. Guinea,2006-08-22,2012-05-22,"Planning, Economic Development, and Public Investment"
Juan Antonio Bibang Nchuchuma,Eq. Guinea,2018-02-06,2019-12-31,External Security
Juan Antonio Ntutumu,Eq. Guinea,1999-07-22,2001-03-09,Health and Social Welfare
Juan Antonio Ntutumu,Eq. Guinea,2001-03-09,2003-02-11,Youth and Sports
Juan Nko Mbula,Eq. Guinea,2012-05-22,2016-06-24,Urban Planning and Infrastructure
Justino Obama Nve,Eq. Guinea,2003-02-11,2006-08-22,Health and Social Welfare
Leandro Miko Angue,Eq. Guinea,2018-02-06,2019-12-31,Civil Aviation
Lucas Abaga Nchama,Eq. Guinea,2018-02-06,2019-04-10,"Finance, Economy, and Planning"
Lucas Nguema Esono Mbang,Eq. Guinea,1999-07-22,2003-02-11,"Information, Tourism and Culture"
Lucas Nguema Esono Mbang,Eq. Guinea,2003-02-11,2004-06-15,Youth and Sports
Lucas Nguema Esono Mbang,Eq. Guinea,2013-09-04,2015-04-15,Vice-Prime Minister in charge of the Social Sector and Minister of Education and Science
Manuel Nguema Mba,Eq. Guinea,2004-06-15,2009-02-24,National Security
Marcelino Nguema Onguene,Eq. Guinea,2001-03-09,2003-02-11,Health and Social Welfare
Marcelino Owono Edu,Eq. Guinea,2003-02-11,2004-06-15,Budget
Marcelino Owono Edu,Eq. Guinea,2004-06-15,2008-07-15,Finance and Budget
Marcelino Owono Edu,Eq. Guinea,2008-07-15,2012-05-22,"Mines, Industry and Energy"
Marcelino Owono Edu,Eq. Guinea,2012-05-22,2015-04-15,Finance and Budget
Marcelino Oyono Ntutumu,Eq. Guinea,1998-01-23,2004-06-15,Transport and Communications
Marcelino Oyono Ntutumu,Eq. Guinea,2004-06-15,2006-08-22,Vice-Prime Minister in charge of Domestic Policy
Marcelino Oyono Ntutumu,Eq. Guinea,2008-07-15,2011-02-19,Urban Planning and Infrastructure
Maria Leonor Epam Biribe,Eq. Guinea,2012-05-22,2013-09-04,Social Affairs and Promotion of Women
Maria del Carmen Ekoro,Eq. Guinea,2012-05-22,2013-09-04,Education and Science
Maria del Carmen Ekoro,Eq. Guinea,2013-09-04,2015-04-15,Social Affairs and Gender Equality
María Consuelo Nguema Oyana,Eq. Guinea,2018-02-06,2019-12-31,Social Affairs and Gender Equality
Mauricio Bokung Asumu,Eq. Guinea,2006-08-22,2008-07-15,"Justice, Religion, and Penitentiary Institutions"
Mauricio Bokung Asumu,Eq. Guinea,2008-07-15,2010-01-12,Labour and Social Security
Mauricio Bokung Asumu,Eq. Guinea,2010-01-12,2011-01-28,Administrative Coordination
Mauricio Bokung Asumu,Eq. Guinea,2011-01-28,2012-05-22,"Transport, Technology, and Posts and Telecommunications"
Maximiliano Meko Aveme,Eq. Guinea,2016-06-24,2018-02-06,Telecommunications and New Technologies
Melchor Esono Edjo,Eq. Guinea,2010-01-12,2012-05-22,Finance and Budget
Micha Ondo Bile,Eq. Guinea,2003-02-11,2012-05-22,"Foreign Affairs, International Cooperation and Francophone Affairs"
Micha Ondo Bile,Eq. Guinea,2018-02-06,2019-12-31,Trade and Promotion of Small and Medium Businesses
Miguel Abia Biteo Borico,Eq. Guinea,1999-07-22,2001-03-09,Economy and Finance
Miguel Abia Biteo Borico,Eq. Guinea,2001-03-09,2004-06-15,"Parliament Relations, Juridical Affairs and Government Spokesman"
Miguel Abia Biteo Borico,Eq. Guinea,2004-06-15,2006-08-22,Prime Minister
Miguel Abia Biteo Borico,Eq. Guinea,2012-05-22,2012-12-06,Labour and Social Security
Miguel Ekua Ondo,Eq. Guinea,2018-02-06,2019-12-31,Industry and Energy
Miguel Engonga Obiang Eyang,Eq. Guinea,2015-04-15,2018-02-06,Finance and Budget
Miguel Eyanga Jobe Malango,Eq. Guinea,2003-02-11,2004-06-15,Labour and Social Security
Miguel Oyono Ndongo Mifumu,Eq. Guinea,1999-07-22,2001-02-26,Vice-Prime Minister
Miguel Oyono Ndongo Mifumu,Eq. Guinea,2012-05-22,2013-09-04,Agriculture and Forests
Nguema Mbasogo,Eq. Guinea,1993-12-22,2004-06-15,President and Minister of Defence
Nguema Mbasogo,Eq. Guinea,2004-06-15,2019-12-31,President
Nguema Teodoro Obiang,Eq. Guinea,1999-07-22,2003-02-11,"Forests, Fishing and Environment"
Nguema Teodoro Obiang,Eq. Guinea,2003-02-11,2004-06-15,Infrastructure and Forests
Nguema Teodoro Obiang,Eq. Guinea,2004-06-15,2012-05-22,Agriculture and Forests
Nguema Teodoro Obiang,Eq. Guinea,2012-05-22,2016-06-24,Vice-President
Nguema Teodoro Obiang,Eq. Guinea,2016-06-24,2019-12-31,Vice-Prime Minister in charge of National Defence and State Security
Nicolas Obama Nchama,Eq. Guinea,2009-02-24,2019-12-31,National Security
Nicolás Houtonji Acapo,Eq. Guinea,2018-02-06,2019-12-31,"Agriculture, Livestock, Forests, and Environment"
Pedro Ondo Nguema,Eq. Guinea,2008-07-15,2011-01-28,"Economy, Commerce, and Business Promotion"
Pedro Ondo Nguema,Eq. Guinea,2016-06-24,2018-02-06,Public Works and Infrastructure
Purificacion Buari Lasaqueros,Eq. Guinea,2012-05-22,2016-06-24,Public Service and Administrative Planning
Reginaldo Asue Mangue,Eq. Guinea,2016-06-24,2018-02-06,Town Planning
Ricardo Mangue Obama Nfube,Eq. Guinea,1999-07-22,2003-02-11,Labour and Social Security
Ricardo Mangue Obama Nfube,Eq. Guinea,2003-02-11,2004-06-15,Public Works and Administrative Coordination
Ricardo Mangue Obama Nfube,Eq. Guinea,2004-06-15,2006-08-22,Vice-Prime Minister in charge of Civil Service and Administrative Reform
Ricardo Mangue Obama Nfube,Eq. Guinea,2006-08-22,2008-07-15,Prime Minister
Ruben Mye Nsue,Eq. Guinea,1998-01-23,2004-06-15,Justice
Rufino Ndong Esono Nchama,Eq. Guinea,2018-02-06,2019-12-31,"Culture, Tourism and Craft Promotion"
Rufino Owono Engonga,Eq. Guinea,2019-04-10,2019-12-31,"Transport, the Postal Service and Telecommunications"
Salomon Nguema Owono,Eq. Guinea,2008-07-15,2011-01-28,Vice-Prime Minister in charge of Human Rights
Salomon Nguema Owono,Eq. Guinea,2011-01-28,2012-05-22,Vice-Prime Minister in charge of Health and Social Wellbeing
Salomon Nguema Owono,Eq. Guinea,2016-06-24,2019-12-31,Health and Social Welfare
Salvador Mangue Avingono,Eq. Guinea,2008-07-15,2010-01-12,Public Service and Administrative Planning
Salvador Ondo Nkumu,Eq. Guinea,2008-07-15,2011-01-28,"Justice, Religion, and Penitentiary Institutions"
Salvador Ondo Nkumu,Eq. Guinea,2018-02-06,2019-12-31,"Justice, Religion, and Penitentiary Institutions"
Santiago Ngua Nfumu,Eq. Guinea,1998-01-23,2001-03-09,"Education, Science and Francophone Affairs"
Santiago Nsobeya Efuman,Eq. Guinea,1999-07-22,2001-03-09,Foreign Affairs and International Cooperation
Santiago Nsobeya Efuman,Eq. Guinea,2001-03-09,2003-02-11,"Foreign Affairs, International Cooperation and Francophone Affairs"
Santiago Nsobeya Efuman,Eq. Guinea,2006-08-22,2008-07-15,"Information, Tourism and Culture"
Simeón Oyono Esono Angue,Eq. Guinea,2018-02-06,2019-12-31,"Foreign Affairs, International Cooperation and Francophone Affairs"
Teobaldo Nchaso Matomba,Eq. Guinea,2013-09-04,2015-04-15,"Information, Press, and Radio"
Teresa Efua Asangono,Eq. Guinea,1999-07-22,2004-06-15,Women Advancement and Social Affairs
Tomas Esono Ava,Eq. Guinea,2010-01-12,2012-05-22,Public Service and Administrative Planning
Tomas Esono Ava,Eq. Guinea,2012-05-22,2013-09-04,Minister without Portfolio
Tomas Mecheba Fernandez,Eq. Guinea,2012-05-22,2013-09-04,Health and Social Welfare
Tomas Mecheba Fernandez,Eq. Guinea,2013-09-04,2016-06-24,Control and Prevention of HIV - AIDS and Sexually Transmitted Diseases
Tomas Mecheba Fernandez,Eq. Guinea,2016-06-24,2018-02-06,Tourism
Vicente Eate Tomi,Eq. Guinea,2006-08-22,2008-07-15,Civil Service and Administrative Reform
Vicente Eate Tomi,Eq. Guinea,2008-07-15,2010-01-12,Administrative Coordination
Vicente Eate Tomi,Eq. Guinea,2010-01-12,2011-01-28,"Transport, Technology, and Posts and Telecommunications"
Vicente Eate Tomi,Eq. Guinea,2011-01-28,2012-05-22,Administrative Coordination
Vicente Eate Tomi,Eq. Guinea,2012-05-22,2016-06-24,Prime Minister and Minister of Administrative Coordination
Vicente Eya Olomo,Eq. Guinea,2016-06-24,2017-05-30,Defence
Vicente Rodriguez Siosa,Eq. Guinea,2006-08-22,2008-07-15,Fishing and Environment
Vidal Djoni Becoba,Eq. Guinea,1999-07-22,2001-03-09,Youth and Sports
Víctor Grange Meile,Eq. Guinea,2016-06-24,2018-02-06,"Agriculture, Livestock and Food"
Ángel Borico Moisés,Eq. Guinea,2016-06-24,2018-02-06,"Labour, Employment Promotion and Social Security"
