item,itemLabel,position,positionLabel,start,end
,Adoracion Salas Chonco,Q112162674,Minister of Fishing,2018-02-06,2019-12-31
,Agapito Mba Mokuy,Q111021196,Minister of Foreign Affairs,2012-05-22,2018-02-06
,Alejandro Bacale Ncogo,Q111021195,Minister of Defence,2018-02-06,2019-12-31
,Alejandro Evuna Owono Asangono,Q112162678,Minister of Missions,1989-11-25,2019-12-31
,Alfonso Nsue Mokuy,Q112128225,Minister of Information,2004-06-15,2006-08-22
,Alfonso Nsue Mokuy,Q112162663,Minister at the Presidency,2006-08-22,2008-07-15
,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2012-05-22,2015-04-15
,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister,2015-04-15,2019-12-31
,Alfredo Mitogo Mitogo,Q111021197,Minister of Agriculture,2013-09-04,2015-04-15
,Alfredo Mitogo Mitogo,Q112162696,Minister of Trade,2015-04-15,2016-06-24
,Anastasio Asumu Mum Munoz,Q112162674,Minister of Fishing,2008-07-15,2012-05-22
,Andrés Jorge Mbomio Nsem Abu,Q112162699,Minister of Youth and Sports,2015-04-15,2017-06-13
,Angel Masie Mibuy,Q111021203,Minister of Justice,2004-06-15,2006-08-22
,Angel Masie Mibuy,Q112162690,Minister of Relations with Parliament and Legal Affairs of the Government,2006-08-22,2016-06-24
,Angel Masie Mibuy,Q112162690,Minister of Relations with Parliament and Legal Affairs of the Government,2006-08-22,2006-08-22
,Angel Masie Mibuy,Q112162701,Vice-Prime Minister,2016-06-24,2019-12-31
,Angel Serafin Seriche Dugan,Q2351213,Prime Minister,1996-03-25,2001-02-23
,Aniceto Ebiaka Muete,Q112162698,Minister of Urban Planning and Infrastructure,2004-06-15,2006-08-22
,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister,2006-08-22,2008-07-15
,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister,2008-07-15,2012-05-22
,Anselmo Ondo Eseno,Q111021199,Minister of Education,2008-07-15,2010-01-12
,Antonio Fernando Nve Ngu,Q112162680,Minister of Parliament Relations,1999-07-22,2001-03-09
,Antonio Fernando Nve Ngu,Q111021199,Minister of Education,2001-03-09,2003-02-11
,Antonio Fernando Nve Ngu,Q111021199,Minister of Education,2003-02-11,2004-06-15
,Antonio Martin Ndong Ntutumu,Q112162665,Minister of Administrative Coordination,2004-06-15,2006-08-22
,Antonio Martin Ndong Ntutumu,Q111020058,Minister of Health,2006-08-22,2008-07-15
,Antonio Mba Nguema,Q111021195,Minister of Defence,2004-06-15,2016-06-24
,Antonio Mba Nguema,Q112162684,Minister of Presidential Security,2016-06-24,2019-12-31
,Antonio Nve Nseng,Q112162681,Minister of Planning,2003-02-11,2004-06-15
,Antonio Pedro Olivera Boropu,Q112162696,Minister of Trade,2016-06-24,2018-02-06
,Atanasio Ela Ntugu Nsa,Q112162677,Minister of Mines,2004-06-15,2008-07-15
,Augustin Nse Nfumu,Q112128225,Minister of Information,2003-02-11,2004-06-15
,Augustin Nse Nfumu,Q112128225,Minister of Information,2012-05-22,2013-09-04
,Baltasar Engonga Edjo,Q111021198,Minister of Economy,2001-03-09,2004-06-15
,Baltasar Engonga Edjo,Q112162689,Minister of Regional Integration,2006-02-14,2019-12-31
,Baltasar Esono Oworo Nfono,Q112162700,Minister without Portfolio,2016-06-24,2019-12-31
,Braulio Ncogo Abegue,Q112162669,Minister of Civil Cabinet,2008-07-15,2016-06-24
,Candido Muatetema Rivas,Q2351213,Prime Minister,2001-02-26,2004-06-15
,Carmelo Modu Acusé Bindang,Q111021201,Minister of Industry,2003-02-11,2004-06-15
,Carmelo Modu Acusé Bindang,Q112162681,Minister of Planning,2004-06-15,2006-08-22
,Carmelo Modu Acusé Bindang,Q112162683,Minister of Political and Administrative Affairs,2006-08-22,2006-08-22
,Carmelo Modu Acusé Bindang,Q112162683,Minister of Political and Administrative Affairs,2006-08-22,2008-07-15
,Celestino Bonifacio Bakale Obiang,Q111021198,Minister of Economy,2012-05-22,2013-09-04
,Celestino Bonifacio Bakale Obiang,Q112162696,Minister of Trade,2013-09-04,2015-04-15
,Celestino Bonifacio Bakale Obiang,Q112162697,Minister of Transport,2015-04-15,2016-06-24
,Celestino Bonifacio Bakale Obiang,Q112162697,Minister of Transport,2016-06-24,2018-02-06
,Celestino Bonifacio Bakale Obiang,Q111021204,Minister of Labour,2018-02-06,2019-12-31
,Clemente Engonga Nguema Andeme,Q111021202,Minister of Interior,2001-03-09,2012-05-22
,Clemente Engonga Nguema Andeme,Q112162701,Vice-Prime Minister,2012-05-22,2019-04-10
,Clemente Engonga Nguema Andeme,Q111021199,Minister of Education,2019-04-10,2019-12-31
,Conrado Okenve Ndoho,Q112162681,Minister of Planning,2012-05-22,2013-09-04
,Conrado Okenve Ndoho,Q111021198,Minister of Economy,2013-09-04,2015-04-15
,Constantino Ekong Zue,Q111021201,Minister of Industry,1999-07-22,2003-02-11
,Consuelo Ondo Nsang,Q112162691,Minister of Social Affairs,2015-04-15,2018-02-06
,Crescencio Tamarite Castano,Q112162674,Minister of Fishing,2012-05-22,2015-04-15
,Cristobal Menana Ela,Q112162677,Minister of Mines,1999-07-22,2004-06-15
,Cristobal Menana Ela,Q111021199,Minister of Education,2004-06-15,2008-07-15
,Cándido Nsue Okomo,Q112162699,Minister of Youth and Sports,2017-06-13,2018-02-06
,César Augusto Mba Abogo,Q111021200,Minister of Finance,2019-04-10,2019-12-31
,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister,1999-07-22,2001-02-26
,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister,2003-02-11,2004-06-15
,Demetrio Elo Ndong Nsefumu,Q112162697,Minister of Transport,2004-06-15,2006-06-15
,Demetrio Elo Ndong Nsefumu,Q111021204,Minister of Labour,2006-06-15,2006-08-22
,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister,2006-08-22,2011-02-19
,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister,2011-02-19,2012-05-22
,Diosdado Nsue Medja,Q111021205,Minister of Public Works,2018-02-06,2019-12-31
,Diosdado Vicente Nsue Milan,Q111020058,Minister of Health,2013-09-04,2016-06-24
,Enrique Mercader Costa,Q111021204,Minister of Labour,2004-06-15,2006-06-15
,Enrique Mercader Costa,Q112162697,Minister of Transport,2006-06-15,2010-01-12
,Estanislao Don Malavo,Q111021200,Minister of Finance,2008-07-15,2010-01-12
,Estanislao Don Malavo,Q111021204,Minister of Labour,2010-01-12,2012-05-22
,Estanislao Don Malavo,Q112162674,Minister of Fishing,2015-04-15,2016-06-24
,Estanislao Don Malavo,Q112162674,Minister of Fishing,2016-06-24,2018-02-06
,Eucario Bakale Angüe,Q111021198,Minister of Economy,2015-04-15,2018-02-06
,Eucario Bakale Angüe,Q112162697,Minister of Transport,2018-02-06,2019-04-10
,Eucario Bakale Angüe,Q112162686,Minister of Public Administration and Administrative Reform,2019-04-10,2019-12-31
,Eugenio Edu Ndong,Q111021201,Minister of Industry,2016-06-24,2018-02-06
,Eugenio Nse Obiang,Q112128225,Minister of Information,2015-04-15,2019-12-31
,Eulalia Envo Bela,Q112162691,Minister of Social Affairs,2006-08-22,2012-05-22
,Evangelina Oyo Ebule,Q111021204,Minister of Labour,2006-08-22,2008-07-15
,Evangelina Oyo Ebule,Q111021203,Minister of Justice,2013-09-04,2018-02-06
,Faustino Ndong Esono Eyang,Q112162700,Minister without Portfolio,2013-09-04,2016-06-24
,Faustino Ndong Esono Eyang,Q112162686,Minister of Public Administration and Administrative Reform,2016-06-24,2019-04-10
,Faustino Ndong Esono Eyang,Q111021202,Minister of Interior,2019-04-10,2019-12-31
,Fausto Abeso Fuma,Q112162668,Minister of Civil Aviation,2016-06-24,2018-02-06
,Fernando Mbale Mba,Q112162670,Minister of Civil Service and Administrative Reform,1998-01-23,2001-03-09
,Fidel Nsue Micha,Q112162698,Minister of Urban Planning and Infrastructure,2006-08-22,2008-07-15
,Filiberto Ntutumu Nguema,Q111021199,Minister of Education,2010-01-12,2011-01-28
,Florentino Nkogo Ndong,Q111021205,Minister of Public Works,1999-07-22,2003-02-11
,Fortunato Ofa Mbo Nchama,Q112162681,Minister of Planning,1999-07-22,2003-02-11
,Fortunato Ofa Mbo Nchama,Q112162674,Minister of Fishing,2003-02-11,2006-08-22
,Fortunato Ofa Mbo Nchama,Q112162665,Minister of Administrative Coordination,2006-08-22,2008-07-15
,Francisca Tatchoup Belope,Q111021198,Minister of Economy,2011-01-28,2012-05-22
,Francisco Javier Ngomo Mbengono,Q111021203,Minister of Justice,2011-01-28,2013-09-04
,Francisco Mba Olo Bahamonde,Q112162697,Minister of Transport,2012-05-22,2015-04-15
,Francisco Mba Olo Bahamonde,Q111021197,Minister of Agriculture,2015-04-15,2019-12-31
,Francisco Mba Olo Bahamonde,Q112162675,Minister of Forests,2016-06-24,2018-02-06
,Francisco Pascual Eyegue Obama Asue,Q111021197,Minister of Agriculture,2003-02-11,2004-06-15
,Francisco Pascual Eyegue Obama Asue,Q111020058,Minister of Health,2008-07-15,2011-01-28
,Francisco Pascual Eyegue Obama Asue,Q112162699,Minister of Youth and Sports,2012-05-22,2015-04-15
,Francisco Pascual Eyegue Obama Asue,Q112162701,Vice-Prime Minister,2015-04-15,2016-06-24
,Francisco Pascual Eyegue Obama Asue,Q2351213,Prime Minister,2016-06-24,2019-12-31
,Gabriel Mbega Obiang Lima,Q112162677,Minister of Mines,2012-05-22,2016-06-24
,Gabriel Mbega Obiang Lima,Q112162677,Minister of Mines,2016-06-24,2019-12-31
,Gregorio Boho Camo,Q111021197,Minister of Agriculture,2001-03-09,2003-02-11
,Guillermina Mekuy Mba Obono,Q112162672,Minister of Culture,2016-06-24,2018-02-06
,Heriberto Mico Mbengono,Q111021204,Minister of Labour,2013-01-30,2016-06-24
,Hermes Ela Mifumu,Q112162685,Minister of Promotion of Small and Medium Businesses,2016-06-24,2018-02-06
,Ignacio Milam Tang,Q112162701,Vice-Prime Minister,2001-02-26,2001-03-09
,Ignacio Milam Tang,Q112162701,Vice-Prime Minister,2001-03-09,2003-02-11
,Ignacio Milam Tang,Q112162700,Minister without Portfolio,2003-02-11,2004-06-15
,Ignacio Milam Tang,Q2351213,Prime Minister,2008-07-15,2012-05-22
,Ignacio Milam Tang,Q7925046,Vice-President,2012-05-22,2016-06-24
,Jaime Ela Ndong,Q111021198,Minister of Economy,2004-06-15,2008-07-15
,Jeremias Ondo Ngomo,Q112162701,Vice-Prime Minister,2003-02-11,2004-06-15
,Jeronimo Osa Osa Ecoro,Q112128225,Minister of Information,2008-07-15,2012-05-22
,Jesusa Obono Engono,Q28555503,Minister of Women,2004-06-15,2006-08-22
,Jesús Engonga Ndong,Q111021199,Minister of Education,2015-04-15,2018-02-06
,Jesús Engonga Ndong,Q111021199,Minister of Education,2018-02-06,2019-04-10
,Joaquín Mbana Nchama,Q111021199,Minister of Education,2011-01-28,2012-05-22
,José Ela Oyana,Q112162681,Minister of Planning,2006-08-22,2012-05-22
,Juan Antonio Bibang Nchuchuma,Q112162673,Minister of External Security,2018-02-06,2019-12-31
,Juan Antonio Ntutumu,Q111020058,Minister of Health,1999-07-22,2001-03-09
,Juan Antonio Ntutumu,Q112162699,Minister of Youth and Sports,2001-03-09,2003-02-11
,Juan Nko Mbula,Q112162698,Minister of Urban Planning and Infrastructure,2012-05-22,2016-06-24
,Justino Obama Nve,Q111020058,Minister of Health,2003-02-11,2006-08-22
,Leandro Miko Angue,Q112162668,Minister of Civil Aviation,2018-02-06,2019-12-31
,Lucas Abaga Nchama,Q111021200,Minister of Finance,2018-02-06,2019-04-10
,Lucas Nguema Esono Mbang,Q112128225,Minister of Information,1999-07-22,2003-02-11
,Lucas Nguema Esono Mbang,Q112162699,Minister of Youth and Sports,2003-02-11,2004-06-15
,Lucas Nguema Esono Mbang,Q112162701,Vice-Prime Minister,2013-09-04,2015-04-15
,Manuel Nguema Mba,Q112162679,Minister of National Security,2004-06-15,2009-02-24
,Marcelino Nguema Onguene,Q111020058,Minister of Health,2001-03-09,2003-02-11
,Marcelino Owono Edu,Q112162667,Minister of Budget,2003-02-11,2004-06-15
,Marcelino Owono Edu,Q111021200,Minister of Finance,2004-06-15,2008-07-15
,Marcelino Owono Edu,Q112162677,Minister of Mines,2008-07-15,2012-05-22
,Marcelino Owono Edu,Q111021200,Minister of Finance,2012-05-22,2015-04-15
,Marcelino Oyono Ntutumu,Q112162697,Minister of Transport,1998-01-23,2004-06-15
,Marcelino Oyono Ntutumu,Q112162701,Vice-Prime Minister,2004-06-15,2006-08-22
,Marcelino Oyono Ntutumu,Q112162698,Minister of Urban Planning and Infrastructure,2008-07-15,2011-02-19
,Maria Leonor Epam Biribe,Q112162691,Minister of Social Affairs,2012-05-22,2013-09-04
,Maria del Carmen Ekoro,Q111021199,Minister of Education,2012-05-22,2013-09-04
,Maria del Carmen Ekoro,Q112162691,Minister of Social Affairs,2013-09-04,2015-04-15
,María Consuelo Nguema Oyana,Q112162691,Minister of Social Affairs,2018-02-06,2019-12-31
,Mauricio Bokung Asumu,Q111021203,Minister of Justice,2006-08-22,2008-07-15
,Mauricio Bokung Asumu,Q111021204,Minister of Labour,2008-07-15,2010-01-12
,Mauricio Bokung Asumu,Q112162665,Minister of Administrative Coordination,2010-01-12,2011-01-28
,Mauricio Bokung Asumu,Q112162697,Minister of Transport,2011-01-28,2012-05-22
,Maximiliano Meko Aveme,Q112162692,Minister of Telecommunications and New Technologies,2016-06-24,2018-02-06
,Melchor Esono Edjo,Q111021200,Minister of Finance,2010-01-12,2012-05-22
,Micha Ondo Bile,Q111021196,Minister of Foreign Affairs,2003-02-11,2012-05-22
,Micha Ondo Bile,Q112162696,Minister of Trade,2018-02-06,2019-12-31
,Miguel Abia Biteo Borico,Q111021198,Minister of Economy,1999-07-22,2001-03-09
,Miguel Abia Biteo Borico,Q112162680,Minister of Parliament Relations,2001-03-09,2004-06-15
,Miguel Abia Biteo Borico,Q2351213,Prime Minister,2004-06-15,2006-08-22
,Miguel Abia Biteo Borico,Q111021204,Minister of Labour,2012-05-22,2012-12-06
,Miguel Ekua Ondo,Q111021201,Minister of Industry,2018-02-06,2019-12-31
,Miguel Engonga Obiang Eyang,Q111021200,Minister of Finance,2015-04-15,2018-02-06
,Miguel Eyanga Jobe Malango,Q111021204,Minister of Labour,2003-02-11,2004-06-15
,Miguel Oyono Ndongo Mifumu,Q112162701,Vice-Prime Minister,1999-07-22,2001-02-26
,Miguel Oyono Ndongo Mifumu,Q111021197,Minister of Agriculture,2012-05-22,2013-09-04
,Nguema Mbasogo,Q19058522,President,1993-12-22,2004-06-15
,Nguema Mbasogo,Q19058522,President,2004-06-15,2019-12-31
,Nguema Teodoro Obiang,Q112162675,Minister of Forests,1999-07-22,2003-02-11
,Nguema Teodoro Obiang,Q112162676,Minister of Infrastructure and Forests,2003-02-11,2004-06-15
,Nguema Teodoro Obiang,Q111021197,Minister of Agriculture,2004-06-15,2012-05-22
,Nguema Teodoro Obiang,Q7925046,Vice-President,2012-05-22,2016-06-24
,Nguema Teodoro Obiang,Q112162701,Vice-Prime Minister,2016-06-24,2019-12-31
,Nicolas Obama Nchama,Q112162679,Minister of National Security,2009-02-24,2019-12-31
,Nicolás Houtonji Acapo,Q111021197,Minister of Agriculture,2018-02-06,2019-12-31
,Pedro Ondo Nguema,Q111021198,Minister of Economy,2008-07-15,2011-01-28
,Pedro Ondo Nguema,Q111021205,Minister of Public Works,2016-06-24,2018-02-06
,Purificacion Buari Lasaqueros,Q112162687,Minister of Public Service and Administrative Planning,2012-05-22,2016-06-24
,Reginaldo Asue Mangue,Q112162694,Minister of Town Planning,2016-06-24,2018-02-06
,Ricardo Mangue Obama Nfube,Q111021204,Minister of Labour,1999-07-22,2003-02-11
,Ricardo Mangue Obama Nfube,Q111021205,Minister of Public Works,2003-02-11,2004-06-15
,Ricardo Mangue Obama Nfube,Q112162701,Vice-Prime Minister,2004-06-15,2006-08-22
,Ricardo Mangue Obama Nfube,Q2351213,Prime Minister,2006-08-22,2008-07-15
,Ruben Mye Nsue,Q111021203,Minister of Justice,1998-01-23,2004-06-15
,Rufino Ndong Esono Nchama,Q112162672,Minister of Culture,2018-02-06,2019-12-31
,Rufino Owono Engonga,Q112162697,Minister of Transport,2019-04-10,2019-12-31
,Salomon Nguema Owono,Q112162701,Vice-Prime Minister,2008-07-15,2011-01-28
,Salomon Nguema Owono,Q112162701,Vice-Prime Minister,2011-01-28,2012-05-22
,Salomon Nguema Owono,Q111020058,Minister of Health,2016-06-24,2019-12-31
,Salvador Mangue Avingono,Q112162687,Minister of Public Service and Administrative Planning,2008-07-15,2010-01-12
,Salvador Ondo Nkumu,Q111021203,Minister of Justice,2008-07-15,2011-01-28
,Salvador Ondo Nkumu,Q111021203,Minister of Justice,2018-02-06,2019-12-31
,Santiago Ngua Nfumu,Q111021199,Minister of Education,1998-01-23,2001-03-09
,Santiago Nsobeya Efuman,Q111021196,Minister of Foreign Affairs,1999-07-22,2001-03-09
,Santiago Nsobeya Efuman,Q111021196,Minister of Foreign Affairs,2001-03-09,2003-02-11
,Santiago Nsobeya Efuman,Q112128225,Minister of Information,2006-08-22,2008-07-15
,Simeón Oyono Esono Angue,Q111021196,Minister of Foreign Affairs,2018-02-06,2019-12-31
,Teobaldo Nchaso Matomba,Q112128225,Minister of Information,2013-09-04,2015-04-15
,Teresa Efua Asangono,Q28555503,Minister of Women,1999-07-22,2004-06-15
,Tomas Esono Ava,Q112162687,Minister of Public Service and Administrative Planning,2010-01-12,2012-05-22
,Tomas Esono Ava,Q112162700,Minister without Portfolio,2012-05-22,2013-09-04
,Tomas Mecheba Fernandez,Q111020058,Minister of Health,2012-05-22,2013-09-04
,Tomas Mecheba Fernandez,Q112162671,Minister of Control and Prevention of HIV - AIDS and Sexually Transmitted Diseases,2013-09-04,2016-06-24
,Tomas Mecheba Fernandez,Q112162693,Minister of Tourism,2016-06-24,2018-02-06
,Vicente Eate Tomi,Q112162670,Minister of Civil Service and Administrative Reform,2006-08-22,2008-07-15
,Vicente Eate Tomi,Q112162665,Minister of Administrative Coordination,2008-07-15,2010-01-12
,Vicente Eate Tomi,Q112162697,Minister of Transport,2010-01-12,2011-01-28
,Vicente Eate Tomi,Q112162665,Minister of Administrative Coordination,2011-01-28,2012-05-22
,Vicente Eate Tomi,Q2351213,Prime Minister,2012-05-22,2016-06-24
,Vicente Eya Olomo,Q111021195,Minister of Defence,2016-06-24,2017-05-30
,Vicente Rodriguez Siosa,Q112162674,Minister of Fishing,2006-08-22,2008-07-15
,Vidal Djoni Becoba,Q112162699,Minister of Youth and Sports,1999-07-22,2001-03-09
,Víctor Grange Meile,Q111021197,Minister of Agriculture,2016-06-24,2018-02-06
,Ángel Borico Moisés,Q111021204,Minister of Labour,2016-06-24,2018-02-06
