entry,minister,id,startdate,enddate,position,type,portfolio,code,party,partycode,PDGE,Ethnic_group,Ethnicgroup_code,Ethnic_threegroup2,Fang,Family_link,Family_link_code,Seniority
206,Pelagia Abeso,189,2004,,Deputy Minister of Agriculture,Deputy Minister,Agriculture and Forests,1,PDGE,7,1,Fang,5,1,1,,0,1
289,Domingo Olomo Nve,67,2008,,Deputy Minister of Agriculture,Deputy Minister,Agriculture and Forests,1,PDGE,7,1,Fang,5,1,1,,0,1
474,Salvador Sabas Bolekia,202,2013,,Deputy Minister of Agriculture,Deputy Minister,Agriculture and Forests,1,PDGE,7,1,Bubi,3,2,0,,0,1
527,Pedro Ondo Nguema,188,2018,,Deputy Minister of Agriculture,Deputy Minister,"Agriculture, Livestock, Forests and Environment",1,PDGE,7,1,Fang,5,1,1,,0,3
576,Santiago Francisco Engonga Esono,238,2020,,Deputy Minister of Agriculture,Deputy Minister,"Agriculture, Livestock, Forests and the Environment",1,PDGE,7,1,Fang,5,1,1,,0,1
531,Luciano Esono Bitegue,144,2018,,Deputy Minister of Civil Aviation,Deputy Minister,Civil Aviation,1,PDGE,7,1,Fang,5,1,1,,0,1
462,José-Jaime Ondo Ndong,130,2013,,Deputy Minister of Commerce,Deputy Minister,Commerce and Business Promotion,1,PDGE,7,1,Fang,5,1,1,,0,2
518,Domingo Mba Esono,66,2018,,Deputy Minister of Commerce,Deputy Minister,Commerce and Promotion of Small and Medium-sized Businesses,1,PDGE,7,1,Fang,5,1,1,,0,1
291,Purificación Opo Barila,193,2008,,Deputy Minister of Culture and Tourism,Deputy Minister,"Information, Culture and Tourism",1,PDGE,7,1,Bubi,3,2,0,,0,2
397,Jose Mba Obama Bendomo,128,2012,,Deputy Minister of Culture and Tourism,Deputy Minister,Culture and Tourism,1,PDGE,7,1,Fang,5,1,1,,0,1
458,Candido Ondó Nchama,42,2013,,Deputy Minister of Culture and Tourism,Deputy Minister,Culture and Tourism,1,PDGE,7,1,Fang,5,1,1,,0,1
529,Prudencio Botey Sobole,191,2018,,Deputy Minister of Culture and Tourism,Deputy Minister,"Culture, Tourism and Craft Promotion",1,PDGE,7,1,Bubi,3,2,0,,0,2
584,Prudencio Botey Sobole,191,2020,,Deputy Minister of Culture and Tourism,Deputy Minister,"Culture, Tourism and Craft Promotion",1,PDGE,7,1,Bubi,3,2,0,,0,3
122,Marcelino Owono Edu,150,2001,,Deputy Minister of Economy,Minister Delegate,Deputy Minister of EDeputy Minister of Economy and Financeducation and Science,4,PDGE,7,1,Fang,5,1,1,,0,1
163,Miguel Edjang Angue,171,2003,,Deputy Minister of Economy,Deputy Minister,Economy,1,PDGE,7,1,Fang,5,1,1,,0,1
282,Francisca Tachup Belope,90,2008,,Deputy Minister of Economy,Deputy Minister,"Economy, Commerce and Business Promotion",1,PDGE,7,1,Bubi,3,2,0,,0,1
401,José-Jaime Ondo Ndong,130,2012,,Deputy Minister of Economy,Deputy Minister,"Economy, Commerce and Business Promotion",1,PDGE,7,1,Fang,5,1,1,,0,1
463,Valentin Ela Maye,220,2013,,Deputy Minister of Economy,Deputy Minister,"Economy, Planning and Public Investment",1,PDGE,7,1,Fang,5,1,1,Gabriel Obiang's father-in-law,1,2
121,Filiberto Ntutumu Nguema,85,2001,,Deputy Minister of Education,Minister Delegate,Deputy Minister of Education and Science,4,PDGE,7,1,Fang,5,1,1,,0,1
203,Joaquin Mbana,122,2004,,Deputy Minister of Education,Deputy Minister,Education and University,1,PDGE,7,1,Fang,5,1,1,,0,1
286,Miguel Esono Mansogo,173,2008,,Deputy Minister of Education,Deputy Minister,"Education, Science and Sports",1,PDGE,7,1,Fang,5,1,1,,0,1
472,Isidoro Eyi Monsuy Andeme,115,2013,,Deputy Minister of Education,Deputy Minister,Education and Sciences,1,PDGE,7,1,Fang,5,1,1,,0,3
519,Maria Jesus Ncara Owono,156,2018,,Deputy Minister of Education,Deputy Minister,"Education, University and Sports",1,PDGE,7,1,Fang,5,1,1,,0,1
164,Carlos Ntutumu Nengono,46,2003,,Deputy Minister of Finance,Deputy Minister,Finance and the Budget,1,PDGE,7,1,Fang,5,1,1,,0,1
201,Hilario Sisa Torrez,112,2004,,Deputy Minister of Finance,Deputy Minister,Finance and Budget,1,PDGE,7,1,Annobonés,1,0,0,,0,2
284,Melchor Esono Edjo,168,2008,,Deputy Minister of Finance,Deputy Minister,Finance and the Budget,1,PDGE,7,1,Fang,5,1,1,Nephew,1,4
517,Valentin Ela Maye,220,2018,,Deputy Minister of Finance,Deputy Minister,"Finance, Economy and Planning",1,PDGE,7,1,Fang,5,1,1,Gabriel Obiang's father-in-law,1,3
573,Hermes Ela Mifumu,111,2020,,Deputy Minister of Finance,Deputy Minister,"Finance, the Economy and Planning, Charged with Taxes and Contributions",1,PDGE,7,1,Fang,5,1,1,,0,2
165,Vicente Rodriguez Siosa,223,2003,,Deputy Minister of Fisheries,Deputy Minister,Fisheries and the Environment,1,PDGE,7,1,Bubi,3,2,0,,0,1
207,Vicente Martinez Siosá,223,2004,,Deputy Minister of Fisheries,Deputy Minister,Fisheries and Envirnment,1,PDGE,7,1,Bubi,3,2,0,,0,2
290,Carlos Nsue Otong,45,2008,,Deputy Minister of Fisheries,Deputy Minister,Fisheries and Environment,1,PDGE,7,1,Fang,5,1,1,,0,2
410,Santiago Esua Nko,203,2012,,Deputy Minister of Fisheries,Deputy Minister,Fisheries and Environment,1,PDGE,7,1,Fang,5,1,1,,0,2
471,Santiago Esua Nko,203,2013,,Deputy Minister of Fisheries,Deputy Minister,Fisheries and Environment,1,PDGE,7,1,Fang,5,1,1,,0,3
526,Andres Ndong Micha,16,2018,,Deputy Minister of Fisheries,Deputy Minister,Fisheries and Water Resources,1,PDGE,7,1,Fang,5,1,1,,0,1
577,Gerónimo-Carlos Osa Osa Nzang,239,2020,,Deputy Minister of Fisheries,Deputy Minister,Fishing and Water Resources,1,PDGE,7,1,Fang,5,1,1,,0,1
196,Jose Esono Micha,126,2004,,Deputy Minister of Foreign Affairs,Deputy Minister,Foreign Affairs,1,PDGE,7,1,Fang,5,1,1,,0,2
208,Victoriana Nchama Nsue,225,2004,,Deputy Minister of Foreign Affairs,Deputy Minister,Foreign Affairs,1,PDGE,7,1,Fang,5,1,1,,0,2
275,Jose Esono Micha,126,2008,,Deputy Minister of Foreign Affairs,Deputy Minister,"Foreign Affairs, International Cooperation and Francophone Affairs",1,PDGE,7,1,Fang,5,1,1,,0,3
398,Victoriana Nchama Nsue Okomo,225,2012,,Deputy Minister of Foreign Affairs,Deputy Minister,Foreign Affairs and Cooperation,1,PDGE,7,1,Fang,5,1,1,Sister-in-law (First Lady's sister of father and mother),1,3
459,Victoriana Nchama Nsue Okomo,225,2013,,Deputy Minister of Foreign Affairs,Deputy Minister,Foreign Affairs and Cooperation,1,PDGE,7,1,Fang,5,1,1,Sister-in-law (First Lady's sister of father and mother),1,4
571,Pedro Nguema Ndong,235,2020,,Deputy Minister of Foreign Affairs,Deputy Minister,Foreign Affairs and Cooperation,1,PDGE,7,1,Fang,5,1,1,,0,1
204,Pedro Abaga Esono,183,2004,,Deputy Minister of Health,Deputy Minister,Health,1,PDGE,7,1,Fang,5,1,1,,0,1
287,Maria Vida Asue Ndong,158,2008,,Deputy Minister of Health,Deputy Minister,Health and Social Welfare,1,PDGE,7,1,Fang,5,1,1,,0,1
405,Miguel Obiang Abeso,177,2012,,Deputy Minister of Health,Deputy Minister,Health and Social Welfare,1,PDGE,7,1,Fang,5,1,1,,0,1
466,Victor Sima Oyana,224,2013,,Deputy Minister of Health,Deputy Minister,Health and Social Welfare,1,PDGE,7,1,Fang,5,1,1,,0,1
521,Dámaso Mitoha Ondo'O Ayecaba,59,2018,,Deputy Minister of Health,Deputy Minister,Health and Social Welfare,1,PDGE,7,1,Fang,5,1,1,,0,1
570,Dámaso Mitoha Ondo'O Ayecaba,59,2020,,Deputy Minister of Health,Deputy Minister,Health and Social Welfare,1,PDGE,7,1,Fang,5,1,1,,0,2
528,Jose Maria Ondo Oyono,127,2018,,Deputy Minister of Industry and Energy,Deputy Minister,Industry and Energy,1,PDGE,7,1,Fang,5,1,1,,0,1
579,Cesar Aguado Hinestrosa Gomez,241,2020,,Deputy Minister of Industry and Energy,Deputy Minister,Industry and Energy,1,PDGE,7,1,Ndowé,7,0,0,,0,1
291,Purificación Opo Barila,193,2008,,Deputy Minister of Information,Deputy Minister,"Information, Culture and Tourism",1,PDGE,7,1,Bubi,3,2,0,,0,2
408,Federico Abaga Ondó,80,2012,,Deputy Minister of Information,Deputy Minister,"Information, Press and Radio",1,PDGE,7,1,Fang,5,1,1,,0,1
469,Jose Mba Obama Bendomo,128,2013,,Deputy Minister of Information,Deputy Minister,"Information, Press and Radio",1,PDGE,7,1,Fang,5,1,1,,0,2
532,Virgilio Seriche Riloha,227,2018,,Deputy Minister of Information,Deputy Minister,"Information, Press and Radio",1,PDGE,7,1,Bubi,3,2,0,,0,1
580,Atalia Modesta Baha Ondo,242,2020,,Deputy Minister of Information,Deputy Minister,"Information, Press and Radio",1,PDGE,7,1,Fang,5,1,1,,0,1
277,Leocadio Ndong Moñung,141,2008,,Deputy Minister of Interior,Deputy Minister,Interior and Local Corporations,1,PDGE,7,1,Fang,5,1,1,,0,1
400,Jeremias Ondó Ngomo,117,2012,,Deputy Minister of Interior,Deputy Minister,Interior and Local Corporations,1,UP,12,0,Fang,5,1,1,,0,3
461,Jeremias Ondó Ngomo,117,2013,,Deputy Minister of Interior,Deputy Minister,Interior and Local Corporations,1,UP,12,0,Fang,5,1,1,,0,4
197,Mauricio Asumu Bokung,164,2004,,Deputy Minister of Justice,Deputy Minister,Justice,1,PDGE,7,1,Fang,5,1,1,,0,1
276,Martin Ndong Nsue,162,2008,,Deputy Minister of Justice,Deputy Minister,"Justice, Religion and Penitentiary Services",1,PDGE,7,1,Fang,5,1,1,,0,1
473,Antonio-Pascual Oko Ebobo,29,2013,,Deputy Minister of Justice,Deputy Minister,"Justice, Religion and Penitentiary Services",1,PDGE,7,1,Ndowé,7,0,0,,0,2
166,Juan Obama Mba,135,2003,,Deputy Minister of Labour,Deputy Minister,Labour and Social Security,1,PDGE,7,1,Fang,5,1,1,,0,1
205,Basilio Abá,36,2004,,Deputy Minister of Labour,Deputy Minister,Labour and Social Security,1,PDGE,7,1,Fang,5,1,1,,0,1
288,Santiago Esua Nko,203,2008,,Deputy Minister of Labour,Deputy Minister,Labour and Social Securuty,1,PDGE,7,1,Fang,5,1,1,,0,1
407,Isidoro Eyi Monsuy Andeme,115,2012,,Deputy Minister of Labour,Deputy Minister,Labour and Social Security,1,PDGE,7,1,Fang,5,1,1,,0,2
468,Secundino Nvono Avomo,209,2013,,Deputy Minister of Labour,Deputy Minister,Labour and Social Security,1,PDGE,7,1,Fang,5,1,1,,0,1
523,Manuel Cristobal Morgades Ichaka,146,2018,,Deputy Minister of Labour,Deputy Minister,"Labour, Promotion of Employment and Social Security",1,PDGE,7,1,Fernandino,6,0,0,,0,1
202,Gabriel Mbega Obiang Lima,102,2004,,Deputy Minister of Mines,Deputy Minister,Mines,1,PDGE,7,1,Fang,5,1,1,Son,1,2
285,Gabriel Mbega Lima,102,2008,,Deputy Minister of Mines,Deputy Minister,"Mines, Industry and Energy",1,PDGE,7,1,Fang,5,1,1,Son,1,3
525,Agapito Edu Ndong,2,2018,,Deputy Minister of Mines,Deputy Minister,Mines and Hydrocarbons,1,PDGE,7,1,Fang,5,1,1,,0,1
578,Santiago Mba Eneme Nsuga,240,2020,,Deputy Minister of Mines,Deputy Minister,Mines and Hydrocarbons,1,PDGE,7,1,Fang,5,1,1,,0,1
278,Antonio Obama Ndong,28,2008,,Deputy Minister of National Defence,Deputy Minister,National Defence,1,PDGE,7,1,Fang,5,1,1,,0,1
399,Daniel Ncogo Ncogo,60,2012,,Deputy Minister of National Defence,Deputy Minister,National Defence,1,PDGE,7,1,Fang,5,1,1,,0,1
460,Daniel Ncogo Ncogo,60,2013,,Deputy Minister of National Defence,Deputy Minister,National Defence,1,PDGE,7,1,Fang,5,1,1,,0,2
516,Victoriano Bibang Nsue Okomo,225,2018,,Deputy Minister of National Defence,Deputy Minister,National Defence,1,PDGE,7,1,Fang,5,0,0,Brother-in-law,1,1
572,Cándido Ncogo Engono Nchama,236,2020,,Deputy Minister of National Defence,Deputy Minister,National Defence,1,PDGE,7,1,Fang,5,1,1,,0,1
167,Col Francisco Edu Ngua,92,2003,,Deputy Minister of National Security,Deputy Minister,National Security,1,PDGE,7,1,Fang,5,1,1,,0,2
279,Francisco Edu Ngua,92,2008,,Deputy Minister of National Security,Deputy Minister,National Security,1,PDGE,7,1,Fang,5,1,1,,0,4
404,Juan-Antonio Bibang Nchuchuma,131,2012,,Deputy Minister of National Security,Deputy Minister,National Security,1,PDGE,7,1,Fang,5,1,1,Brother-in-law,1,2
465,Juan Ndong Nguema,133,2013,,Deputy Minister of National Security,Deputy Minister,National Security,1,PDGE,7,1,Fang,5,1,1,,0,1
515,Armando Dougan Champion,31,2018,,Deputy Minister of of the Presidency,Deputy Minister,"of the Presidency of the Republic, in charge of Ceremonies and Translat",1,PDGE,7,1,Fernandino,6,0,0,,0,1
120,Antonio Javier Nguema Nchama,23,2001,,Deputy Minister of Planning,Minister Delegate,Deputy Minister of Planning and Economic Development,4,PDGE,7,1,Fang,5,1,1,,0,1
200,Carlos Nsue Otong,45,2004,,Deputy Minister of Planning,Deputy Minister,Planning,1,PDGE,7,1,Fang,5,1,1,,0,1
283,Martin Crisantos Esono Edjo,161,2008,,Deputy Minister of Planning,Deputy Minister,"Planning, Economic Development and Public Investment",1,PDGE,7,1,Fang,5,1,1,Nephew,1,1
402,Valentin Ela Maye,220,2012,,Deputy Minister of Planning,Deputy Minister,"Planning, Economic Development and Public Investment",1,PDGE,7,1,Fang,5,1,1,Gabriel Obiang's father-in-law,1,1
292,Purificación Buari Lasaquero,192,2008,,Deputy Minister of Public Administration,Deputy Minister,Public Service and Administrative Planning,1,PDGE,7,1,Bubi,3,2,0,,0,3
411,Baltasar Esono Eworo Nfono,35,2012,,Deputy Minister of Public Administration,Deputy Minister,Public Administration and Administrative Reform,1,PDGE,7,1,Fang,5,1,1,,0,1
475,Amparo Mele Kolifa,13,2013,,Deputy Minister of Public Administration,Deputy Minister,Public Administration and Administrative Reform,1,PDGE,7,1,Bubi,3,2,0,,0,1
520,Santiago Nsobeya Barreiros,205,2018,,Deputy Minister of Public Administration,Deputy Minister,Public Administration and Administrative Reform,1,PDGE,7,1,Fang,5,1,1,,0,1
582,Santiago Nsobeya Barreiros,205,2020,,Deputy Minister of Public Administration,Deputy Minister,Public Administration and Administrative Reform,1,PDGE,7,1,Fang,5,1,1,,0,2
281,Alejandro Micha Nsue,8,2008,,Deputy Minister of Public Works,Deputy Minister,Public Works and Infrastructures,1,PDGE,7,1,Fang,5,1,1,,0,1
406,Reginaldo Asu Mangue,194,2012,,Deputy Minister of Public Works,Deputy Minister,Public Works and Infrastructures,1,PDGE,7,1,Fang,5,1,1,,0,1
467,Enrique Ovono Ondó,71,2013,,Deputy Minister of Public Works,Deputy Minister,Public Works and Infrastructures,1,PDGE,7,1,Fang,5,1,1,,0,1
522,Enrique Ovono Ondo,71,2018,,Deputy Minister of Public Works,Deputy Minister,"Public Works, Housing and Urbanism",1,PDGE,7,1,Fang,5,1,1,,0,2
574,Pascual Ondo Nse Oyana,237,2020,,Deputy Minister of Public Works,Deputy Minister,"Public Works, Housing and Town Planning",1,PDGE,7,1,Fang,5,1,1,,0,1
409,Consuelo Ondó Nsang,56,2012,,Deputy Minister of Social Affairs,Deputy Minister,Social and Women’s Affairs,1,PDGE,7,1,Fang,5,1,1,,0,1
470,Consuelo Ondó Nsang,56,2013,,Deputy Minister of Social Affairs,Deputy Minister,Social Affairs and Gender Equality,1,PDGE,7,1,Fang,5,1,1,,0,2
524,Esperanza Gestrudis Davies Eiso,72,2018,,Deputy Minister of Social Affairs,Deputy Minister,Social Affairs and Gender Equality,1,PDGE,7,1,Fernandino,6,0,0,,0,1
199,Jeronimo Osa Osa Ekoro,118,2004,,Deputy Minister of Tourism,Deputy Minister,Tourism,1,PDGE,7,1,Fang,5,1,1,,0,2
583,Domingo Mba Esono,66,2020,,Deputy Minister of Trade,Deputy Minister,Trade and the Promotion of Small and Medium-sized Businesses,1,PDGE,7,1,Fang,5,1,1,,0,2
198,Miguel Eyanga Djoba Malango,174,2004,,Deputy Minister of Transport,Deputy Minister,Transport and Telecommunications,1,PDGE,7,1,Ndowé,7,0,0,,0,2
280,Isidoro Eyi Monsuy Aneme,115,2008,,Deputy Minister of Transport,Deputy Minister,"Transport, Technology, Posts and Telecommunications",1,PDGE,7,1,Fang,5,1,1,,0,1
403,Joaquin Elema Borengue,121,2012,,Deputy Minister of Transport,Deputy Minister,Transports,1,PDGE,7,1,Ndowé,7,0,0,Brother-in-law,1,1
464,Carmelo Martin Modu Ebuka,46,2013,,Deputy Minister of Transport,Deputy Minister,Transports,1,PDGE,7,1,Fang,5,1,1,Was married to one niece of Obiang. Died in office,1,1
530,Hipólito Ondo Nvo Bela,113,2018,,Deputy Minister of Transport,Deputy Minister,"Transports, Posts and Telecommunications",1,PDGE,7,1,Fang,5,1,1,,0,1
581,Honorato Evita Oma,243,2020,,Deputy Minister of Transport,Deputy Minister,"Transport, the Postal Service and Telecommunications",1,PDGE,7,1,Fang,5,1,1,,0,1
575,Manuel Cristóbal Morgades Ichaca,146,2020,,"Deputy Minister of Work, Employment Promotion and Social Security",Deputy Minister,"Work, Employment Promotion and Social Security",1,PDGE,7,1,Fernandino,6,0,0,,0,2
412,Manuel Asumu Cawan,145,2012,,Deputy Minister of Youth and Sports,Deputy Minister,Youth and Sports,1,PDGE,7,1,Fang,5,1,1,,0,1
476,Manuel Sabino Asumu Cawan,145,2013,,Deputy Minister of Youth and Sports,Deputy Minister,Youth and Sports,1,PDGE,7,1,Fang,5,1,1,,0,2
68,Miguel Oyono Ndong Mifumu,178,1999,,First Deputy PM,Deputy PM,First Deputy PM,2,PDGE,7,1,Fang,5,1,1,,0,3
174,Marcelino Oyono Ntutumu,151,2004,,"First Deputy Prime Minister, in charge of internal affairs",Deputy PM,"First Deputy Prime Minister, in charge of internal affairs",2,PDGE,7,1,Fang,5,1,1,Brother-in-law,1,6
124,Demetrio Elo Ndong Nsefumu,62,2003,,"First Vice Prime Minister, in charge of domestic policy",Deputy PM,"First Vice Prime Minister, in charge of domestic policy",2,PDGE,7,1,Fang,5,1,1,,0,3
223,Aniceto Ebiaca Muete,20,2006,,"First Vice-Prime Minister, in charge of human rights",Deputy PM,"First Vice-Prime Minister, in charge of human rights",2,PDGE,7,1,Bubi,3,2,0,,0,2
94,Francisco Pascual Obama Eyegue,100,2001,,General Secretary to the Presidency of the Government,Deputy PM,General Secretary to the Presidency of the Government,2,PDGE,7,1,Fang,5,1,1,,0,2
33,Salomon Nguema Owono,199,1996,,Government Secretary-General,Minister,Government Secretary-General,3,PDGE,7,1,Fang,5,1,1,,0,1
252,Braulio Ncogo Abegue,39,2008,,Minister at the presidency in charge of Civil Office,Minister,Minister at the presidency of the republic in charge of Civil Office,3,PDGE,7,1,Fang,5,1,1,,0,1
359,Braulio Ncogo Abegue,39,2012,,Minister at the presidency in charge of Civil Office,Minister of State,Minister at the presidency of the republic in charge of Civil Office,5,PDGE,7,1,Fang,5,1,1,,0,4
416,Braulio Ncogo Abegue,39,2013,,Minister at the presidency in charge of Civil Office,Minister of State,Minister at the presidency of the republic in charge of Civil Office,5,PDGE,7,1,Fang,5,1,1,,0,5
485,Juan-Antonio Bibang Nchuchuma,131,2018,,Minister at the Presidency in charge of External Security,Minister,"Minister at the Presidency of the Republic, in charge of External Security",3,PDGE,7,1,Fang,5,1,1,Brother-in-law,1,4
247,Alfonso Nsue Mokuy,10,2006,,Minister at the presidency in charge of Information,Presidency,"Minister at the presidency of the republic in charge of Information, Cu",6,CLD,2,0,Fang,5,1,1,,0,3
245,Alejandro Evuna Owono Asangono,7,2006,,Minister at the presidency in charge of Missions,Presidency,Minister at the presidency of the republic in charge of Missions,6,PDGE,7,1,Fang,5,1,1,,0,6
251,Alejandro Evuna Owono Asangono,7,2008,,Minister at the presidency in charge of Missions,Minister,Minister at the presidency of the republic in charge of Missions,3,PDGE,7,1,Fang,5,1,1,,0,7
327,Alejandro Evuna Owono Asangono,7,2011,,Minister at the presidency in charge of Missions,Minister of State,Minister at the presidency of the republic in charge of Missions,5,PDGE,7,1,Fang,5,1,1,,0,9
358,Alejandro Evuna Owono Asangono,7,2012,,Minister at the presidency in charge of Missions,Minister of State,Minister at the presidency of the republic in charge of Missions,5,PDGE,7,1,Fang,5,1,1,,0,10
415,Alejandro Evuna Owono Asangono,7,2013,,Minister at the presidency in charge of Missions,Minister of State,Minister at the presidency of the republic in charge of Missions,5,PDGE,7,1,Fang,5,1,1,,0,11
246,Carmelo Modu Akuse Bindang,47,2006,,Minister at the presidency in charge of Political and A,Presidency,Minister at the presidency of the republic in charge of Political and A,6,UDS,11,0,Fang,5,1,1,,0,5
255,Baltasar Engonga Edjo,34,2008,,Minister at the presidency in charge of Regional Inte,Minister,Minister at the presidency of the government in charge of Regional Inte,3,PDGE,7,1,Fang,5,1,1,Nephew,1,5
249,Baltasar Engonga Edjo,34,2006,,Minister at the presidency in charge of Regional Integration,Presidency,In charge of Sub-Regional Integration,6,PDGE,7,1,Fang,5,1,1,Nephew,1,4
361,Baltasar Engonga Edjo,34,2012,,Minister at the presidency in charge of Regional Integration,Minister of State,Minister at the presidency of the government in charge of Regional Inte,5,PDGE,7,1,Fang,5,1,1,Nephew,1,8
418,Baltasar Engonga Edjo,34,2013,,Minister at the presidency in charge of Regional Integration,Minister of State,Minister at the presidency of the government in charge of Regional Inte,5,PDGE,7,1,Fang,5,1,1,Nephew,1,9
253,Vicente Ehate Tomi,221,2008,,Minister at the Presidency in charge of the Administrative Coordination,Minister,Minister at the Presidency in charge of the Administrative Coordination,3,PDGE,7,1,Bubi,3,2,0,,0,2
297,Alejandro Evuna Owono Asangono,7,2010,,Minister at the presidency of the republic in charge of Missions,Minister of State,Minister at the presidency of the republic in charge of Missions,5,PDGE,7,1,Fang,5,1,1,,0,8
148,Carlos Eyi Obama,44,2003,,Minister Delegate of Agriculture,Minister Delegate,"Agriculture, Livestock and Rural Development",4,PDGE,7,1,Fang,5,1,1,,0,2
395,Diosdado-Sergio Osa Mongono,64,2012,,Minister Delegate of Agriculture,Minister Delegate,Agriculture and Forests,4,PDGE,7,1,Fang,5,1,1,,0,1
455,Salomon Nfa Ndong,198,2013,,Minister Delegate of Agriculture,Minister Delegate,Agriculture and Forests,4,PDGE,7,1,Fang,5,1,1,,0,1
510,Miguel Mba Nsang Mikue,175,2018,,Minister Delegate of Agriculture,Minister Delegate,"Agriculture, Livestock, Forests and Environment",4,UDS,11,0,Fang,5,1,1,,0,1
567,Miguel Mba Nsang Mikue,175,2020,,Minister Delegate of Agriculture,Minister Delegate,"Agriculture, Livestock, Forests and the Environment",4,PDGE,7,1,Fang,5,1,1,,0,2
390,Fausto Abeso Fuma,79,2012,,Minister Delegate of Civil Aviation,Minister Delegate,Civil Aviation,4,PDGE,7,1,Fang,5,1,1,Son-in-law,1,1
449,Fausto Abeso Fuma,79,2013,,Minister Delegate of Civil Aviation,Minister Delegate,Civil Aviation,4,PDGE,7,1,Fang,5,1,1,Son-in-law,1,2
445,Fortunato Ofa Mbo Nchama,88,2013,,Minister Delegate of Commerce,Minister Delegate,Commerce and Business Promotion,4,PDGE,7,1,Fang,5,1,1,,0,5
514,Alberto Doria Lajay,5,2018,,Minister Delegate of Commerce,Minister Delegate,Commerce and Promotion of Small and Medium-sized Businesses,4,PDGE,7,1,Bubi,3,2,0,,0,1
