name,gender,position
ALEJANDRO EVUNA OWONO ASANGONO,male,"Ministro de Estado a la Presidencia de la República, Encargado de Misiones"
BALTASAR ENGONGA EDJO,male,"Ministro de Estado a la Presidencia del Gobierno, Encargado de la Integración Regional"
NICOLÁS OBAMA NCHAMA,male,"Ministro de Estado, Encargado de Seguridad Nacional"
FAUSTINO NDONG ESONO EYANG,male,Ministro de Estado del Interior y Corporaciones Locales
JUAN-ANTONIO BIBANG NCHUCHUMA,male,"Ministro a la Presidencia de la República, Encargado de Seguridad Exterior"
BALTASAR ESONO EWORO NFONO,male,Ministro Secretario General de la Presidencia del Gobierno
DIOSDADO NSUE MILANG,male,Ministro de Sanidad y Bienestar Social
SIMEÓN OYONO ESONO ANGUE,male,Ministro de Asuntos Exteriores y Cooperación
SALVADOR ONDO NCUMU,male,"Ministro de Justicia, Culto e Instituciones Penitenciarias"
VICTORIANO BIBANG NSUE OKOMO,male,Ministro de Defensa Nacional
VALENTÍN ELA MAYE,male,"Ministro de Hacienda, Economía y Planificación"
CLEMENTE FERREIRO VILLARINO,male,"Ministro de Obras Públicas, Viviendas y Urbanismo"
ALFREDO MITOGO MITOGO ADA,male,"Ministro de Trabajo, Fomento de Empleo y Seguridad Social"
NICOLÁS HOUTONJI ACAPO,male,"Ministro de Agricultura, Ganadería, Bosques y Medio Ambiente"
ADORACIÓN SALAS CHONCO,female,Ministra de Pesca y Recursos Hídricos
GABRIEL MBEGA OBIANG LIMA,male,Ministro de Minas e Hidrocarburos
MIGUEL EKUA ONDO,male,Ministro de Industria y Energía
VIRGILIO SERICHE RILOHA,male,"Ministro de Información, Prensa y Radio"
MARÍA CONSUELO NGUEMA OYANA,female,Ministra de Asuntos Sociales e Igualdad de Género
RUFINO OVONO ONDO,male,"Ministro de Transportes, Correos y Telecomunicaciones"
EUCARIO BACALE ANGÜE,male,Ministro de la Función Pública y Reforma Administrativa
PASTOR MICHA ONDO BILE,male,Ministro de Comercio y Promoción de Pequeñas y Medianas Empresas
NORBORTO-BARTOLOMÉ MENSUY MAÑE ANDEME,male,Ministro de Aviación Civil
RUFINO NDONG ESONO NCHAMA,male,"Ministro de Cultura, Turismo y Promoción Artesanal"
HERBERTO MECO MBENGONO,male,Ministro-Delegado de Seguridad Nacional
JUAN OLO MBA NSENG,male,"Ministro-Delegado de Justicia, Culto e Instituciones Penitenciarias"
FIDEL NSUE MICHA,male,Ministro-Delegado del Interior y Corporaciones Locales
MANUELA ROCA BOTEY,female,"Ministra-Delegada de Educación, Enseñanza Universitaria y Deportes"
MIGUEL MBA NSANG MIKUE,male,"Ministro-Delegado de Agricultura, Ganadería, Bosques y Medio Ambiente"
ALBERTO DORIA LAJAY,male,Ministro-Delegado de Comercio y Promoción de Pequeñas y Medianas Empresas
ARMANDO DOUGAN CHAMPION,male,"Vice-Ministro de la Presidencia de la República, Encargado de Ceremonias y Traducciones"
MITOHA ONDO'O AYEKABA,male,Vice-Ministro de Sanidad y Bienestar Social
PEDRO NGUEMA NDONG,male,Vice-Ministro de Asuntos Exteriores y Cooperación
CÁNDIDO NCOGO ENGONO NCHAMA,male,Vice-Ministro de Defensa Nacional
HERMES ELA MIFUMU,male,"Vice-Ministro de Hacienda, Economía y Planificación, Encargado de Impuestos y Contribuciones"
PASCUAL ONDO NSE OYANA,male,"Vice-Ministro de Obras Públicas, Viviendas y Urbanismo"
MANUEL CRISTÓBAL MORGADES ICHACA,male,"Vice-Ministro de Trabajo, Fomento del Empleo y Seguridad Social"
SILVESTRE ABAGA EYANG,male,Vice-Ministro Encargado de Bosques y Medio Ambiente
GERÓNIMO-CARLOS OSA OSA NZANG,male,Vice-Ministro de Pesca y Recursos Hídricos
SANTIAGO MBA ENEME NSUGA,male,Vice-Ministro de Minas e Hidrocarburos
CESAR AGUADO HINESTROSA GOMEZ,male,Vice-Ministro de Industria y Energía
ATALIA MODESTA BAHA ONDO,female,"Vice-Ministra de Información, Prensa y Radio"
HONORATO EVITA OMA,male,"Vice-Ministro de Transportes, Correos y Telecomunicaciones, Exmo"
SANTIAGO NSOBEYA BARREIROS,male,Vice-Ministro de la Función Pública y Reforma Administrativa
DOMING0 MBA ESONO,male,Vice-Ministro de Comercio y Promoción de Pequeños y Medianas Empresas
PRUDENCIO BOTEY SOBOLE,male,"Vice-Ministro de Cultura, Turismo y Promoción Artesanal"
CARMELO OVONO OBIANG,male,"Secretario de Estado a la Presidencia de la República, Encargado de Seguridad Exterior"
JUAN ABAHA ELO,male,"Secretario de Estado a la Presidencia de la República, Encargado de Auditorías"
SALVADOR NDONG NSUE,male,Secretario de Estado a la Presidencia de la República en el Departamento de Misiones
EDUARDO MINANG ENSEME,male,Secretario de Estado de Seguridad Nacional
MARIA ÁNGELES MIAGA BIBANG,female,"Secretaria de Estado, Encargada de Asuntos Económicos y Patrimonio de Guinea Ecuatorilal en el Exterior"
RIMMÉ BOSIO RIOCALO,female,"Secretaria de Estado de Justicia, Culto e Instituciones Penitenciarias"
ALFREDO ABESO NVONO ONGUENE,male,Secretario de Estado de Defensa Nacional
MILAGROSA OBONO ANGUE,female,"Secretaria de Estado, Encargada de la Tesorería"
ANTONIO NGUA MBA EYANG,male,"Secretario de Estado, Encargado de Presupuestos y Control Financiero"
VICENTE NSUE NSUE MANGUE,male,"Secretario de Estado, Encargado de Enseñanza Superior y Secundaria"
PATRICIO BACALE MBA MEDJA,male,"Secretario de Estado, Encargado de Deportes"
TOMÁS ESONO NSUE EYA,male,"Secretario de Estado, Encargado de Obras Públicas"
PASCUAL BAKALE MBIANG,male,"Secretario de Estado, Encargado de Sanidad Animal y Control de Calidad de Alimentos"
AVELINO MOCACHE MENGA,male,Secretario de Estado de Pesca y Recursos Hidrícos
JOSE-MARIA ONDO OYONO.,male,"Secretario de Estado, Encargado de Plantas de Producción de Energía y Lineas de Transmisión"
MARIA DEL PILAR MEDJA NVONO NSA,female,"Secretaria de Estado, Encargada de Asuntos Sociales e Igualdad de Género"
ALFONSO OSA NGUEMA MOKUY,male,Secretario de Estado de Aviación Civil
CATALINA MARTINEZ ASUMU,female,"Secretaria de Estado, Encargada de Turismo"
TEODORO BIYOGO NSUE OKOMO,male,"Consejero a la Presidencia de la República en Materia de Protocolo, Ceremonias y Viajes de Estado"
ROSENDO OTOGO MEÑENG,male,Consejero a la Presidencia de la República en Materia de Asuntos Económicos y Financieros
LUCAS ABAGA NCHAMA,male,Consejero a la Presidencia de la República en Materia de Asuntos con las Instituciones Regionales e Internacionales
JUAN-NOEL NSUE ONDO,male,Consejero a la Presidencia de la República en Materia de Ceremonias y Traducciones
MARCELINO OYONO NTUTUMU,male,Consejero a la Presidencia de la República Encargado de la Coordinación con el GE-PROYECTOS
ERNESTO-VALENTIN NDONG MBA,male,Consejero a la Presidencia de la República en el Gabinete de Primera Dama
MARCELINO OWONO EDU,male,Consejero a la Presidencia de la República en Materia de Presupuestos del Estado
PEDRO NDONG OBIANG NGOMO,male,Consejero a la Presidencia de la República en Materia de Seguridad
ARMENGOL ONDO NGUEMA,male,Delegado Nacional de Seguridad
DANIEL NCOGO NCOGO AYE,male,Canciller de las Órdenes NacionaIes
JUSTO OBIANG OBIANG MANGUE,male,Asistente Personal del Jefe de Estado
ANGEL NDONG MICHA,male,Consejero a la Presidencia del Gobierno en Materia de Asuntos Administrativos y Coordinación
PEDRO ONDO NGUA,male,Consejero a la Presidencia del Gobierno en Materia de Asuntos Jurídicos y Sociales
VICTORIANA NCHAMA NSUE OKOMO,female,Consejera a la Presidencia del Gobierno en Materia de Organismos Internacionales en el Ministerio de Asuntos Exteriores y Cooperación
PEDRO ELA NGUEMA BUNA,male,Consejero a la Presidencia del Gobierno en Materia de Protocolo y Organización Nacional de Eventos en el Ministerio de Asuntos Exteriores y Cooperación
EUSTAQUIO NSENG ESONO,male,Consejero a lo Presidencia del Gobierno en Materia de de Asuntos Consulados y Tratados en el Ministerio de Asuntos Exteriores y Cooperación
FRANCISCO EVUY NGUEMA MICUE,male,"Consejero a la Presidencia del Gobierno en Materia de Política Judicial y Codificación de Leyes, en el Ministerio de Justicia, Culto e Instituciones Penitenciarias"
LEANDRO BACALE NCOGO,male,Consejero a la Presidenciadel Gobierno en Materia de Logística y Conservación del Material Militar en el Ministerio de Defensa Nacional
FAUSTO ABESO FUMA,male,Consejero a la Presidencia del Gobierno en Materia de Instalaciones Militares en el Ministerio de Defensa Nacional
TOMAS ESONO AVA MBUY,male,Consejero a la Presidencia del Gobierno en Materia de Asuntos Jurídicos y Administrativos en el Ministerio del Interior y Corporaciones Locales
AGAPITO ONA NGUEMA OYANA,male,Consejero a la Presidencia del Gobierno en Materia de Administración Territorial en el Ministerio del Interior y Corporaciones Locales
ANGEL ESONO NSUGA,male,Consejero a la Presidencia del Gobierno en el Ministerio de Seguridad Nacional
JOSÉ-ÁNGEL BORICO MOISÉS,male,"Consejero a la Presidencia del Gobierno en Materia de Administración Tributaria en el Ministerio de Hacienda, Economía y Planificación"
EUSEBIO IPICO PENDA,male,"Consejero o lo Presidencia del Gobierno en Materia de Presupuestos y Control Financiero en el Ministerio de Hacienda, Economía y Planificación"
ESTANISLAO DON MALAVO,male,"Consejero a la Presidencia del Gobierno en Materia de Clima de Negocios en el Ministerio de Hacienda, Economía y Planificación"
FELIPE ONDONSUE ADA,male,"Consejero a la Presidencia del Gobierno en Materia de Enseñanza Primaria y Secundaria en el Ministerio de Educación, Enseñanza Universitaria y Deportes"
MARÍA-JESÚS NCARA OWONO,female,"Consejera a la Presidencia del Gobierno en Materia de Enseñanza Superior y Universitaria en el Ministerio de Educación, Enseñanza Universitaria y Deportes"
SANTIAGO AYONG OTUNGA,male,Consejero a la Presidencia del Gobierno en Materia de Coordinación Hospitalaria y Enfermedades Crónicas en el Ministerio de Sanidad y Bienestar Social
PEDRO ABAGA ESONO,male,"Consejero a la Presidencia del Gobierno en Materia de Aprovisionamiento, Farmacia y Laboratorio en el Ministerio de Sanidad y Bienestar Social"
PEDRO ONDO NGUEMA,male,"Consejero a la Presidencia del Gobierno en Materia de Obras Públicas en el Ministerio de Obras Públicas, Viviendas y Urbanismo"
JUAN NKO MBULA,male,"Consejero a la Presidencia del Gobierno en Materia de Viviendas, Edificaciones y Mantenimientos en el Ministerio de Obras Públicas, Viviendas y Urbanismo"
CEFERINO EBURI MATA,male,"Consejero a lo Presidencia del Gobierno en Materia de Urbanismo y Catastro en el Ministerio de Obras Públicas, Viviendas y Urbanismo"
MALELA IDJABE NGANDI,male,"Consejero a Presidencia del Gobierno en Materia de Política Laboral en el Ministerio de Trabajo, Fomento de Empleo y Seguridad Social"
SANTIAGO BEE AYETEBE,male,"Consejero a la Presidencia del Gobierno en Materia de Trabajo en el Ministerio de Trabajo, Fomento de Empleo y Seguridad Social"
FIDEL OBAMA ASUMU,male,Consejero o la Presidencia del Gobierno en el Ministerio de Minas e Hidrocarburos
FIDEL-MARCOS MAÑE NCOGO,male,Consejero a la Presidencia del Gobierno en Materia de Industria e Infraestructuras de Calidad en el Ministerio de Industria y Energía
MÁXIMO TORAO OYO,male,Consejero a la Presidencia del Gobierno en Materia de Electrificación en el Ministerio de Industria y Energía
VICTORIANO NSUE ONDO,male,"Consejero a la Presidencia del Gobierno Materia de Agricultura, Ganadería y Alimentación en el Ministerio de Agricultura, Ganadería, Bosques y Medio Ambiente"
FLORENTINO MANGUIRE ENEME,male,"Consejero a la Presidencia del Gobierno en Materia de Bosques y Medio Ambiente en el Ministerio de Agricultura, Ganadería, Bosques y Medio Ambiente"
PILAR MEDJA ELA NAMIL,female,Consejera a la Presidencia del Gobierno en el Ministerio de Pesca y Recursos Hídricos
JOSÉ ESONO BACALE EFUNTAM,male,"Consejero a la Presidencia del Gobierno en Materia de Información, Radio y Televisión en el Ministerio de Información, Prensa y Radio"
JUAN-LORENZO MACHIMBO BISABINGA,male,"Consejero a la Presidencia del Gobierno en Materia de Supervisión y Control de Servicios Informativos en el Ministerio de Información, Prensa y Radio"
ANTONINA MIKO MIKUE,female,Consejera a la Presidencia del Gobierno en Materia de Igualdad de Género en el Ministerio de Asuntos Sociales e Igualdad de Género
RAMÓN BENGONO MIKO NZANG,male,"Consejero a lo Presidencia del Gobierno en Materia de Asuntos Sociales, Personas con Discapacidad, Tercera Edad y Coordinación Multisectorial en el Ministerio de Asuntos Sociales e Igualdad de Género"
JOAQUÍN ELEMA BORENGUE,male,Consejero a la Presidencia del Gobierno en Materia de Señalización y Seguridad Marítima en el Ministerio de Transportes. Correos y Telecomunicaciones
PEDRO MONSUY ASUMU,male,"Consejero a la Presidencia del Gobierno en Materia de Transportes y Correos en el Ministerio de Transportes, Correos y Telecomunicaciones"
JUAN NGUEMA MAÑE,male,"Consejero a la Presidencia del Gobierno en Materia de Puertos en el Ministerio de Transportes, Correos y Telecomunicaciones"
SANTIAGO-MARTÍN EZOMO MBA NFE,male,Consejero a la Presidencia del Gobierno en el Ministerio de la Función Pública y Reforma Administrativa
AMBROSIO NDONG MASIE,male,Consejero a la Presidencia del Gobierno en el Ministerio de Comercio y Promoción de pequeñas y Medianas Empresas
LEANDRO NGUEMA MBA EYANG,male,Consejero a la Presidencia del Gobierno en el Ministerio de Aviación Civil
ANTONIO SIBACHA BUECHEKU,male,"Consejero a la Presidencia del Gobierno en el Ministerio de Cultura, Turismo y Promoción Artesanal"
ÁNGEL-JOSÉ NTUTUMU ESONO BINDANG,male,Secretario General del Gabinete Civil de la Presidencia de la República
MATÍAS NGUEMA MBA MEDJA,male,Secretario General del Ministerio de Asuntos Exteriores y Cooperación
BALTASAR NSENG MESIAN,male,"Secretario General del Ministerio de Justicia, Culto e Instituciones Penitenciarias"
RAIMUNDO ONDO EDJANG MANGUE,male,Secretario General del Ministerio de Defensa Nacional
VICTORIANO ENGONGA ONDO KEA,male,Secretario General del Ministerio del Interior y Corporaciones Locales
SANTIAGO EDU ASAMA NCHAMA,male,Secretario General del Ministerio de Seguridad Nacional
ZENÓN OBIANG OBIANG AVOMO,male,"Secretario General del Ministerio de Hacienda, Economía y Planificación"
ARMANDO NDEMESOGO ESONO,male,Secretario General del Ministerio de Educación Enseñanza Universitaria y Deportes
MARÍA-GORETTI MITOGO RICHIBUE,female,Secretaria General del Ministerio de Sanidad y Bienestar Social
TELESFORO ESONO NCUNA,male,"Secretario General del Ministerio de Obras Públicas, Vivienda y Urbanismo"
BLAS EDU ALOGO BIKIE,male,"Secretario General del Ministerio de Trabajo, Fomento de Empleo y Seguridad Social"
JOSÉ-MANUEL NDONG NSE MIKUE,male,Secretario General del Ministerio de Minas e Hidrocarburos
JOSÉ RAMÓN OBAMA SIMA,male,Secretario General del Ministerio de Industria y Energía
FRANCISCO MEDINA CATALAN,male,"Secretario General del Ministerio de Agricultura, Ganadería, Bosques y Medio Ambiente"
PAULINO NGUEMA MEBAHA,male,Secretario General del Ministerio de Pesca y Recursos Hídricos
CLEMENTE MEDA SERICHE,male,"Secretario General del Ministerio de Información, Prensa y Radio"
INMACULADA ELO ASANGONO,female,Secretaria General del Ministerio de Asuntos Sociales e Igualdad de Género
FRANCISCO-JAVIER BELA BOYA,male,"Secretario General del Ministerio de Transportes, Correos y Telecomunicaciones"
JESÚS MIKO NGUEMA MANGUE,male,Secretario General del Ministerio de la Función Pública y Reforma Administrativa
MARTÍN OBIANG NVO OMOMONO,male,Secretario General del Ministerio de Comercio y Promoción de Pequeñas y Medianas Empresas
UBALDO-MARCOS NGUERE,male,Secretario General del Ministerio de Aviación Civil
GENARO ABESO OSA ECORO,male,"Secretario General del Ministerio de Cultura, Turismo y Promoción Artística"
FERNANDO NGU NVE,male,Director General de Gabinete Civil
ALFONSO NGUEMA ONDO,male,Director General de Gabinete Militar
FILEMON NDONG MOLO,male,Director General de Seguridad Presidencial
SALVADOR ESONO OBONO,male,Director General de Protocolo de Estado
JUAN-FRANCISCO EBENDENG ANGO,male,Director General de Ceremonias de Estado
MARIA LUISA MANGUE ONDO,female,Directora General de Traducciones
AMALIA NCHAMA OBIANG,female,Director General de Asuntos Particulares de SU Excelencia
JAVIER OBAMA NSUE NCHAMA,male,Director General de Prensa Presidencial
BERNARDINO NDUMU OBIANG,male,Director General de Palacios y Residencias Oficiales
MARIA DEL PILAR AVOMO NGUEMA,female,Directora General de Gabinete de la Primera Dama
MARI-PAZ ASANGONO NCOGO,female,Director General de Protocolo del Gabinete de la Primera Dama
BENJAMÍN MANGUE MICHA,male,Director General de Prensa de la Primera Dama
JESÚS OLAMA OLAMA,male,Director General de Cancillería de las Órdenes Nacionales
QUERUBIN NGUEMA ESONO,male,Director General de Asistencia Sanitaria de lo Presidencia de la República
SANTIAGO NDONG ASUMU,male,"Director General Adjunto de Gabinete Civil, Encargado de Asuntos Administrativos"
